,0,1,2,3,4,5,6,7,8,9
107,2.9892976982637265e-11,2.9385827104988493e-11,2.8595570356060307e-11,3.073230558925388e-11,2.985656166742956e-11,3.052069708076033e-11,2.980260482843278e-11,2.970512724687069e-11,2.926903164279793e-11,3.192890396519488e-11
108,2.9280800006858954e-11,2.90709678552048e-11,2.7959856652159942e-11,3.002154080888886e-11,2.934519294228721e-11,3.017430749707728e-11,2.9151570046792585e-11,2.913336238918873e-11,2.875988336370483e-11,3.15689696606114e-11
109,2.8934854512385755e-11,2.860978121077551e-11,2.7536195545962983e-11,2.9428681713739024e-11,2.8643976079933964e-11,2.973177259946169e-11,2.8510305227769095e-11,2.87143642196952e-11,2.812972077492759e-11,3.1059821381518304e-11
110,2.8391955453344053e-11,2.8165692000925446e-11,2.7174484884540107e-11,2.8864244328019595e-11,2.809086296906571e-11,2.911604291000458e-11,2.788258512964603e-11,2.830491396821344e-11,2.7697844018348405e-11,3.041700225026034e-11
111,2.7887470110954382e-11,2.773203888750686e-11,2.6628033111819605e-11,2.8275604080363337e-11,2.7659430301696375e-11,2.8593349910011057e-11,2.7510216327186754e-11,2.7569724281306662e-11,2.722710945590734e-11,3.003752802044346e-11
112,2.744160454426492e-11,2.710098812030992e-11,2.5947466397724384e-11,2.7794877510700644e-11,2.7321922502210327e-11,2.797473364068992e-11,2.7098101540445896e-11,2.7079671838237118e-11,2.685118793976926e-11,2.960720557609875e-11
113,2.7069235741805642e-11,2.6676660880298186e-11,2.546451938201244e-11,2.7285951276212472e-11,2.694777734291165e-11,2.7452928819116096e-11,2.670641485735814e-11,2.6546320697207193e-11,2.6405766462289648e-11,2.912492469420158e-11
114,2.657185582677357e-11,2.6152857657280038e-11,2.488320660631871e-11,2.69446687184427e-11,2.6440627465262878e-11,2.6989965817847406e-11,2.6233903938077674e-11,2.613353977665156e-11,2.5976110151759713e-11,2.875899518528513e-11
115,2.602851267852202e-11,2.5702995287701924e-11,2.4469537507343375e-11,2.641642460332605e-11,2.5794477664931037e-11,2.6753266268997322e-11,2.5872193276654798e-11,2.567501766748137e-11,2.5484947485665543e-11,2.8127278284273416e-11
116,2.5708768447429975e-11,2.5274449200196614e-11,2.401567833487661e-11,2.601741044827577e-11,2.5401680758818657e-11,2.6188162749463118e-11,2.5514257373515647e-11,2.529021436714629e-11,2.5121460467403267e-11,2.76560996326225e-11
117,2.5298652062133442e-11,2.4877433446590658e-11,2.378963692706293e-11,2.564681800265589e-11,2.4908741735885087e-11,2.5778934542586285e-11,2.5048629836987857e-11,2.4941382292809067e-11,2.4663826536652778e-11,2.7151614290232828e-11
118,2.4845681068086378e-11,2.44670950166892e-11,2.358402362290235e-11,2.5229818234606682e-11,2.4625856909210597e-11,2.5359714328487826e-11,2.4719337687884035e-11,2.4629631667494323e-11,2.4163115952546832e-11,2.6869395597373114e-11
